"","x"
"1",1.90697
"2",5.634914
"3",2.622929
"4",0.821429
"5",4.234128
"6",1
"7",3.450805
"8",2.448559
"9",2.790766
"10",3.089747
"11",2.80181
"12",6.621945
"13",4.99848
"14",1.609076
"15",2.200733
"16",3.282493
"17",2.392606
"18",3.216667
"19",4.99848
"20",4
"21",6.582144
"22",3.651808
"23",1
"24",2.00991
"25",2.821429
"26",4.99848
"27",1.868683
"28",3.419937
"29",2.62913
"30",5.697458
"31",3.079641
"32",5
"33",1.736165
"34",1.666667
"35",3
"36",1.736165
"37",3.079641
"38",1.736165
"39",2.446588
"40",0
"41",1.736165
"42",3.079641
"43",3.079641
"44",2.922751
"45",1.736165
"46",3.759418
"47",4.401774
"48",1.013826
"49",2.622929
"50",2.622929
"51",2.980442
"52",0.266129
"53",1.736165
"54",2.622929
"55",2.369207
"56",2.471504
"57",4.210672
"58",4.33693
"59",2.714747
"60",3.262315
"61",3.257722
"62",1.736165
"63",1.736165
"64",1.736165
"65",2.622929
"66",2.041132
"67",1.736165
"68",2.367441
"69",1.928076
"70",0.630645
"71",1.736165
"72",0.588577
"73",1.042029
"74",1.736165
"75",1.571429
"76",3.619863
"77",2.369207
"78",4.251825
"79",5.492832
"80",2.817509
"81",0.927079
"82",2.821429
"83",5.492832
"84",4.335027
"85",2.683033
"86",2.449837
"87",2.380953
"88",1.754643
"89",4
"90",2.456297
"91",4
"92",1.677056
"93",1
"94",6.001393
"95",4.983566
"96",0.988096
"97",3.557724
"98",2.369207
